LineId,Content,EventId,EventTemplate,ParameterList
1,Failed password for ubuntu from 203.0.113.103 port 43683 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['ubuntu', '203.0.113.103', '43683']"
2,Failed password for root from 203.0.113.151 port 4825 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['root', '203.0.113.151', '4825']"
3,Failed password for root from 203.0.113.109 port 5602 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['root', '203.0.113.109', '5602']"
4,Failed password for deploy from 203.0.113.213 port 38081 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['deploy', '203.0.113.213', '38081']"
5,Failed password for root from 203.0.113.151 port 27020 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['root', '203.0.113.151', '27020']"
6,Failed password for git from 203.0.113.76 port 28492 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['git', '203.0.113.76', '28492']"
7,Failed password for git from 203.0.113.145 port 54509 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['git', '203.0.113.145', '54509']"
8,Failed password for git from 203.0.113.165 port 13336 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['git', '203.0.113.165', '13336']"
9,Failed password for test from 203.0.113.146 port 4930 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['test', '203.0.113.146', '4930']"
10,Failed password for test from 203.0.113.111 port 51960 ssh2,T1,Failed password for <*> from <*> port <*> ssh2,"['test', '203.0.113.111', '51960']"
11,Accepted password for deploy from 203.0.113.78 port 17304 ssh2,T2,Accepted password for <*> from <*> port <*> ssh2,"['deploy', '203.0.113.78', '17304']"
12,Accepted password for git from 203.0.113.136 port 33471 ssh2,T2,Accepted password for <*> from <*> port <*> ssh2,"['git', '203.0.113.136', '33471']"
13,Accepted password for git from 203.0.113.32 port 34574 ssh2,T2,Accepted password for <*> from <*> port <*> ssh2,"['git', '203.0.113.32', '34574']"
14,Accepted password for admin from 203.0.113.109 port 3593 ssh2,T2,Accepted password for <*> from <*> port <*> ssh2,"['admin', '203.0.113.109', '3593']"
15,Invalid user git from 203.0.113.89 port 46590,T3,Invalid user <*> from <*> port <*>,"['git', '203.0.113.89', '46590']"
16,Invalid user deploy from 203.0.113.217 port 7157,T3,Invalid user <*> from <*> port <*>,"['deploy', '203.0.113.217', '7157']"
17,Invalid user root from 203.0.113.181 port 21314,T3,Invalid user <*> from <*> port <*>,"['root', '203.0.113.181', '21314']"
18,Invalid user test from 203.0.113.229 port 44844,T3,Invalid user <*> from <*> port <*>,"['test', '203.0.113.229', '44844']"
19,Invalid user ubuntu from 203.0.113.158 port 8697,T3,Invalid user <*> from <*> port <*>,"['ubuntu', '203.0.113.158', '8697']"
20,Invalid user ubuntu from 203.0.113.191 port 17251,T3,Invalid user <*> from <*> port <*>,"['ubuntu', '203.0.113.191', '17251']"
21,Invalid user root from 203.0.113.116 port 27346,T3,Invalid user <*> from <*> port <*>,"['root', '203.0.113.116', '27346']"
22,Invalid user deploy from 203.0.113.73 port 47318,T3,Invalid user <*> from <*> port <*>,"['deploy', '203.0.113.73', '47318']"
23,Connection closed by authenticating user admin 203.0.113.23 port 12572 [preauth],T4,Connection closed by authenticating user <*> <*> port <*> [preauth],"['admin', '203.0.113.23', '12572']"
24,Connection closed by authenticating user root 203.0.113.214 port 39632 [preauth],T4,Connection closed by authenticating user <*> <*> port <*> [preauth],"['root', '203.0.113.214', '39632']"
25,Connection closed by authenticating user root 203.0.113.109 port 36058 [preauth],T4,Connection closed by authenticating user <*> <*> port <*> [preauth],"['root', '203.0.113.109', '36058']"
26,Connection closed by authenticating user test 203.0.113.245 port 41498 [preauth],T4,Connection closed by authenticating user <*> <*> port <*> [preauth],"['test', '203.0.113.245', '41498']"
27,Connection closed by authenticating user test 203.0.113.102 port 27111 [preauth],T4,Connection closed by authenticating user <*> <*> port <*> [preauth],"['test', '203.0.113.102', '27111']"
28,Connection closed by authenticating user deploy 203.0.113.104 port 5103 [preauth],T4,Connection closed by authenticating user <*> <*> port <*> [preauth],"['deploy', '203.0.113.104', '5103']"
29,pam_unix(sshd:auth): authentication failure; rhost=203.0.113.30,T5,pam_unix(sshd:auth): authentication failure; rhost=<*>,['203.0.113.30']
30,pam_unix(sshd:auth): authentication failure; rhost=203.0.113.40,T5,pam_unix(sshd:auth): authentication failure; rhost=<*>,['203.0.113.40']
31,pam_unix(sshd:auth): authentication failure; rhost=203.0.113.159,T5,pam_unix(sshd:auth): authentication failure; rhost=<*>,['203.0.113.159']
32,pam_unix(sshd:auth): authentication failure; rhost=203.0.113.123,T5,pam_unix(sshd:auth): authentication failure; rhost=<*>,['203.0.113.123']
33,pam_unix(sshd:auth): authentication failure; rhost=203.0.113.81,T5,pam_unix(sshd:auth): authentication failure; rhost=<*>,['203.0.113.81']
34,pam_unix(sshd:auth): authentication failure; rhost=203.0.113.124,T5,pam_unix(sshd:auth): authentication failure; rhost=<*>,['203.0.113.124']
35,[UFW BLOCK] IN=eth0 OUT= SRC=203.0.113.245 DST=10.0.0.5 PROTO=TCP SPT=63415 DPT=22,T6,[UFW BLOCK] IN=eth0 OUT= SRC=<*> DST=10.0.0.5 PROTO=TCP SPT=<*> DPT=22,"['203.0.113.245', '63415']"
